payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
05/08/2025,1947656.31,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"NIAID AWARD, LOC: HIV VACCINE TRIALS NETWORK, APRIL AND MAY  2025 REIMBURSMENT OF ALLOWABLE TOTAL PROJECT COSTS BUDGETED AND APPROVED BY THE FUNDING AGENCY ON AN AWARD 5 UM1 AI068614-20","NIH approves the payment for UAI068614D in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FRED HUTCHINSON CANCER CENTER,
04/23/2025,1936312,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Payment is justified upon completion of milestone 3 - PoC1 of Fluidic Management Subsystem; Refinement of manufacturing cost model, as accepted by the Program Manager Darshak Sanghavi, for the Open BAA funded NEBULA Program","NIH approves the payment for AAX000040A in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",CELLINO BIOTECH INC,
05/06/2025,1796592.25,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,reimbursement of allowable expenses for the All of Us Research Program.,"NIH approves the payments for 4040568350 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",VANDERBILT UNIVERSITY MEDICAL CENTER,
05/09/2025,1796592.25,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,reimbursement of allowable expenses for the All of Us Research Program.,"NIH approves the payments for 4040576376 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",VANDERBILT UNIVERSITY MEDICAL CENTER,
04/25/2025,1785566.53,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,for allowable expenses on the award,"NIH approves the payment for UAI171443AC6 in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",SCRIPPS RESEARCH INSTITUTE,
05/06/2025,1767275.73,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"SSF/core facilities charges,Personnel,Consultants expenses critical to carry out the aims of the project","NIH approves the payments for 4040569108 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",BROAD INSTITUTE INC,
05/07/2025,1694401.53,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of project-related expenses to complete sponsor approved scope of work for referenced award/subaccount.&nbsp; Expenses are in line with sponsor approved budget.  Personnel: $51,071.53, Subcontract: $1,572,184.95, Other project-related expenses: $20,456.45, IDC: $50,688.60   Total request for reimbursement: $1,694,401.53","NIH approves the payment for    	UAG024904D   in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH & EDUCATION,
04/22/2025,1526517,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Payment is justified upon completion of milestones 1C.2 (Complete initial validation of ADCC assay), 2B.1 (Contract signature with Weill Cornell Medicine), 2C.1 (Contract signature with Yale University) and 2D.3 (Complete engineering of antibody design 1), as accepted by the Program Manager, for Agreement Number 1AY2AX000074, Engineered Monomeric IgA-Neutrophil Engagers for Cancer and Engineered Dimeric IgA for Infectious Diseases.","NIH approves the payment for AAX000074A in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",TIGATX INC,
05/07/2025,1509785.59,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement for payroll, lab supplies, research supplies, postage, duplicating/copying, maintenace agreements, recharge fee, professional fee, subawards, major equipment, IDC within the approved and awareded budget.","NIH approves the payments for 4040572057 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF NORTH DAKOTA,
05/07/2025,1509550.46,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement for payroll, lab supplies, research supplies, postage, duplicating/copying, maintenance agreements, recharge fee, professional fee, subawards, major equipment, IDC within the approved and awareded budget.","NIH approves the payments for 4040571603 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF NORTH DAKOTA,
05/08/2025,1470267.25,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"NIAID AWARD, SDMC: HIV PREVENTION TRIALS NETWORK, APRIL AND MAY  2025 REIMBURSMENT OF ALLOWABLE TOTAL PROJECT COSTS BUDGETED AND APPROVED BY THE FUNDING AGENCY ON AN AWARD 5 UM1 AI068617-20","NIH approves the payment for UAI068617D in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FRED HUTCHINSON CANCER CENTER,
04/30/2025,1437772.83,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable payroll, supplies, and/or other project costs budgeted and approved by the funding agency as related to expenses funded by this grant","NIH approves the payments for 4040559954 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.","Massachusetts General Hospital, The",
04/28/2025,1421009.88,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of allowable expenses that were incurred to support the SOW,"NIH approves the payments for 4040555613 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF MINNESOTA,
04/25/2025,1255143.45,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable payroll, supplies, and/or other project costs budgeted and approved by the funding agency","NIH approves the payments for 4040554552 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF PENNSYLVANIA,
05/12/2025,1250209.66,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"This payment will be used to reimburse the grant recipient for allowable and allocable expenditures, per the approved detailed budget(s) for award number(s) referenced.","NIH approves the payments for 4040577634 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF CALIFORNIA,
05/06/2025,1239918.73,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of allowable expenditures related to this specific award,"NIH approves the payments for 4040568426 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF TEXAS HEALTH SCIENCE CTR AT SAN ANTONIO,
04/29/2025,1201028.21,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Request for Reimbursement for March 25 payroll costs and related expenses. Also includes operating cost and sub award that are in compliance with award. CFDA 93.395; Cancer Treatment Research,"NIH approves the payments for 4040557357 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",PUBLIC HEALTH INSTITUTE,
05/08/2025,1199130.53,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"NIAID AWARD, LC: HIV VACCINE TRIALS NETWORK, APRIL AND MAY  2025 REIMBURSMENT OF ALLOWABLE TOTAL PROJECT COSTS BUDGETED AND APPROVED BY THE FUNDING AGENCY ON AN AWARD 5 UM1 AI068618-20","NIH approves the payment for UAI068618D in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FRED HUTCHINSON CANCER CENTER,
05/06/2025,1196288,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Milestone (Y1.M1) ($632,330); (Y1.M2) ($563,958):Detailed Results: Document Exit Criteria were met, including performance metrics, data, graphics, and pipeline where appropriate. Ensure the Milestone is met in full. The exit criteria for this quarter are to generate the design documents for the version of the tools that will be produced in the next quarter. We developed V0.1 design documents for CHARMonator, CHARMGPT, CHARMonizer, FHIR-HOSE, CHARMomics and Twinsight.  Current design documents focus on achieving the next milestones as indicated, while also being mindful of future needs. Hurdles &amp; Solutions: The largest challenge for the group thus far has been ensuring the entire team across all projects is organized and informed. There is a 6 hour difference between the time zones across the group. We have established 2 separate weekly meetings to accommodate all the groups.  Thus far this has been sufficient to drive the projects and seen by the completion of all 6 design documents.",The payment is approved for tasks performed as specified in Milestone Y1.M1 (Complete the architecture design for all CHARM components) and Y1.M2 (Develop initial versions of all CHARM components) in support of the ARPA-H BDF Toolbox program to consolidate healthcare and research data from various health disciplines and resolve inconsistencies in data storage and sharing.,UNIVERSITY OF ALABAMA AT BIRMINGHAM,
04/28/2025,1127462.59,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of salary and non-salary expenses for award UMH124639A; amounts were incurred in accordance with the sponsor approved budget.,"NIH approves the payments for 4040556486 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",YALE UNIVERSITY,
04/29/2025,1118967.18,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Standard monthly request, subawards and member site payments","NIH approves the payments for 4040557435 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",NRG ONCOLOGY FOUNDATION INC,
04/25/2025,1115282.34,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of expenses for NIH NCATS All of Us,"NIH approves the payments for 4040554626 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",RESEARCH TRIANGLE INSTITUTE,
05/06/2025,1109007.42,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable and allocable project related expenses (e.g. payroll, supplies, etc.) to support OT2HL161847","NIH approves the payments for 4040568047 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",NEW YORK UNIVERSITY MEDICAL CENTER,
05/07/2025,1100475.88,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable payroll, supplies, and/or other project costs budgeted and approved by the funding agency for contract UOD035532A","NIH approves the payments for 4040571762 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,
04/28/2025,1098413.25,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of payroll and subcontractor and purchased services expenses for Project: MrOS,"NIH approves the payments for 4040555004 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",SUTTER BAY HOSPITALS,
05/01/2025,1087627.6,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,PAYMENT MOVING FROM UNS125023A - SHOULD HAVE BEEN FOR THE NEXT YEAR EXPENSE REMIBURSEMENT,"NIH approves the payments for 4040562176 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF CINCINNATI,
04/30/2025,1078420.42,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable payroll, supplies, and/or other project costs budgeted and approved by the funding agency as related to expenses funded by this grant","NIH approves the payments for 4040559954 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.","Massachusetts General Hospital, The",
04/23/2025,1073463.43,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement is requested for the pre-approved budget categories of Salaries and Fringe Benefits for key personnel working on the grant or cooperative agreement, along with equipment, travel, materials and supplies, other Direct Costs,&iquest;and indirect costs.","NIH approves the payments for 4040548322 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.","RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",
04/28/2025,1071872.96,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of payroll costs and related expenses. CFDA 93.395; Cancer Treatment Research,"NIH approves the payment for UCA180886C in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.

",PUBLIC HEALTH INSTITUTE,
05/08/2025,1066835.73,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable payroll, supplies, and/or other project costs budgeted and approved by the funding agency on 5UM1AI104681-12","NIH approves the payments for 4040573237 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",Duke University,
05/09/2025,1062407.19,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"This payment will be used to reimburse the grant recipient for allowable and allocable expenditures, per the approved detailed budget for subaccount RAG082127A.","NIH approves the payments for 4040576295 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.","UNIVERSITY OF CALIFORNIA, IRVINE",
05/07/2025,1060827.64,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of allowable payroll, supplies, and/or other project costs budgeted and approved by the funding agency for contract PAI172523A","NIH approves the payments for 4040571762 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,
04/28/2025,1054966.58,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement for allowable expenses on grant.,"NIH approves the payments for 4040556484 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",RUSH UNIVERSITY MEDICAL CENTER,
05/02/2025,1048229.6,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,This invoice includes purchase of 3520 clinical genetic tests to support 1/5 of the planned redemptions in June 2025,"NIH approves the payment for OOD038258A in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",COLOR HEALTH INC,
04/25/2025,1028066.3,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement for reasonable and necessary expenditures to further the aims of the award,"NIH approves the payments for 4040553254 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",CEDARS-SINAI MEDICAL CENTER,
05/06/2025,1018674.72,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Allowable costs associated with grant 1U19AI18198401,"NIH approves the payments for 4040568924 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",WASHINGTON UNIVERSITY,
04/25/2025,1012860.16,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of expenses for NIH NCPI Y2,"NIH approves the payments for 4040554626 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",RESEARCH TRIANGLE INSTITUTE,
05/06/2025,1002551,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"This award is to conduct all the research tasks related to the Cancer Grand Challenges Project entitled  PROMINENT: Discovering the molecular signatures of cancer PROMotion to INform prevENTion.

The main objective of the PROMINENT project is to identify the mechanisms that control mutant cells within normal human tissues, and to elucidate the precise mechanisms by which cancer promoting agents stimulate the conversion of these cells to neoplastic growth. We are one of the teams involved in that project, leading the WP5: Deriving molecular signatures of cancer promotion.

We are using ultradeep sequencing and a set of computational tools developed de novo or adapted for their use of this new type of data to probe the clonal landscape of several normal tissues across individuals with different histories of exposures and lifetime cancer risk.

The requested funds cover i) the recruitment of several Postdoctoral Researchers and Technicians, ii) experimental tasks related with ultradeep sequencing library preparation (specifically to acquire laboratory supplies and cover sequencing services), and iii) publication of results. These funds are thus key to fulfill the identification of molecular signatures of cancer promotion that WP5 is tasked for within the PROMINENT project.","NIH approves the payment for OCA278668A in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FUNDACIO INSTITUT DE RECERCA BIOMEDICA (IRB BARCELONA),
04/22/2025,999759.07,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Research related expenses,"NIH approves the payments for 4040547299 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",THE LELAND STANFORD JUNIOR UNIVERSITY,
04/22/2025,990415.77,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement for expenses related to the scope of work on award UNS132296A,"NIH approves the payments for 4040545235 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,
