piid,agency,vendor,value,description,fpds_status,fpds_link,deleted_date,savings
75N98024F00001,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,55721068.2,High level Advisory and Assistance Services,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98024F00001&modNumber=P00003&idvAgencyID=&idvPIID=75N98022D00027&contractType=AWARD,3/24/2025,55721068.2
75D30125F00130,Department of Health and Human Services,ACCENTURE FEDERAL SERVICES LLC,54461621.63,COMPUTER SYSTEM DESIGN/APPLICATION DEVELOPMENT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30125F00130&modNumber=P00001&idvAgencyID=&idvPIID=47QTCK18D0036&contractType=AWARD,6/9/2025,54366910.64
75D30124F19169,Department of Health and Human Services,DELOITTE CONSULTING LLP,51608733.4,IT SERVICES 3.0,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19169&modNumber=P00004&idvAgencyID=&idvPIID=47QTCK18D0029&contractType=AWARD,3/24/2025,51424613.99
75FCMC22F0003,Department of Health and Human Services,IPG DXTRA INC,863198184,Health Insurance Exchange Public Education and Outreach - SUPPORT- PROFESSIONAL: COMMUNICATIONS,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22F0003&modNumber=P00011&idvAgencyID=&idvPIID=75FCMC18D0046&contractType=AWARD,3/12/2025,50999859
75N91020F00039,Department of Health and Human Services,"LEIDOS BIOMEDICAL RESEARCH, INC.",281604707,"SCIENTIFIC SUPPORT SERVICES, ANIMAL BIOLOGIST - RESEARCH AND DEVELOPMENT",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91020F00039&modNumber=P00008&idvAgencyID=&idvPIID=75N91019D00024&contractType=AWARD,4/28/2025,48935501
75FCMC22C0003,Department of Health and Human Services,"NATIONAL GOVERNMENT SERVICES, INC.",851240307.95,MEDICARE PART A/PART B ADMINISTRATIVE CONTRACTOR (MAC) JURISDICTION K (JK),FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22C0003&modNumber=P00045&idvAgencyID=&idvPIID=&contractType=AWARD,9/30/2025,46447750
75D30123F17100,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,54893901.47,CDC READY RESPONDER TRAINING & COORDINATION SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F17100&modNumber=P00008&idvAgencyID=&idvPIID=75D30119A06642&contractType=AWARD,3/24/2025,46224016.35
75N91020F00025,Department of Health and Human Services,"LEIDOS BIOMEDICAL RESEARCH, INC.",134064345,"MANAGEMENT, OVERSIGHT, EXECUTION, CLOSEOUT AND PUBLICATION OF MEDICAL OBSERVATIONAL STUDY",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91020F00025&modNumber=P00012&idvAgencyID=&idvPIID=75N91019D00024&contractType=AWARD,4/29/2025,44875969
75N97023F00002,Department of Health and Human Services,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,43606297.94,ServiceNow Plafform Management - Expired,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N97023F00002&modNumber=P00014&idvAgencyID=&idvPIID=HHSN316201200023W&contractType=AWARD,3/24/2025,43606297.94
75FCMC23F0001,Department of Health and Human Services,SPARKSOFT CORPORATION,44990635,COMPUTER SYSTEM DESIGN SERVICES: MASTER DATA MANAGEMENT AND ENTERPRISE DATA LAKE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23F0001&modNumber=P00002&idvAgencyID=&idvPIID=HHSM500201700047I&contractType=AWARD,8/29/2025,43203222.1
75FCMC21C0003,Department of Health and Human Services,"NORIDIAN HEALTHCARE SOLUTIONS, LLC",841148670,MEDICARE PART A/PART B ADMINISTRATIVE CONTRACTOR (MAC) JURISDICTION E,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC21C0003&modNumber=P00088&idvAgencyID=&idvPIID=&contractType=AWARD,10/2/2025,40123850
75FCMC22C0037,Department of Health and Human Services,"PALMETTO GBA, LLC",1338141972,MEDICARE PART A/PART B ADMINISTRATIVE CONTRACTOR (MAC) JURISDICTION M (JM),FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22C0037&modNumber=P00048&idvAgencyID=&idvPIID=&contractType=AWARD,10/1/2025,39410433
75D30123C17984,Department of Health and Human Services,VERILY LIFE SCIENCES LLC,38760799.92,WASTEWATER TESTING,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17984&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,38085761.18
75N91023F00001,Department of Health and Human Services,DELOITTE CONSULTING LLP,157800278.88,Digital services and solutions (DSS) and foundational support,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023F00001&modNumber=P00016&idvAgencyID=&idvPIID=75N91023A00003&contractType=AWARD,3/24/2025,36806289.69
75N94022F00177,Department of Health and Human Services,DELOITTE CONSULTING LLP,46484082.31,NICHD Data and Specimen Hub (DASH),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94022F00177&modNumber=P00019&idvAgencyID=&idvPIID=GS00F029DA&contractType=AWARD,3/24/2025,31523763.26
75FCMC24F0018,Department of Health and Human Services,MATHEMATICA INC.,39992157,MAKING CARE PRIMARY EVALUATION,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0018&modNumber=P00004&idvAgencyID=&idvPIID=75FCMC19D0091&contractType=AWARD,5/6/2025,30982767
75FCMC24F0178,Department of Health and Human Services,"RELI GROUP, INC.",33090145,MONITORING AND AUDIT SERVICES FOR THE MAKING CARE PRIMARY MODEL,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0178&modNumber=P00003&idvAgencyID=&idvPIID=75FCMC19D0094&contractType=AWARD,4/17/2025,30379108
75N98019F00847,Department of Health and Human Services,DELOITTE CONSULTING LLP,28606297.03,SER IT&PROGRAM MGMTCAN#8322142$2056.56,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98019F00847&modNumber=P00020&idvAgencyID=&idvPIID=HHSN316201200018W&contractType=AWARD,3/24/2025,28606297.03
75N97024F00001,Department of Health and Human Services,BLH TECHNOLOGIES INC,58755185.58,BRICS INFRASTRUCTURE PRODUCTS/SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N97024F00001&modNumber=P00001&idvAgencyID=&idvPIID=75N97024A00002&contractType=AWARD,2/18/2025,26738070.36
75N91023F00001,Department of Health and Human Services,ACCENTURE FEDERAL SERVICES LLC,136865804.76,Software Engineering and Support,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023F00001&modNumber=P00020&idvAgencyID=&idvPIID=75N91023A00001&contractType=AWARD,3/24/2025,26253795.26
75FCMC22F0131,Department of Health and Human Services,"LEIDOS, INC.",217019135.97,"OTHER COMPUTER RELATED SERVICES: HOSTING OPERATIONS AND END-USER SUPPORT, PROVIDE END TO END APPLICATION HOSTING SERVICES FOR OVER 300 BUSINESS APPLICATIONS, CENTERS FOR MEDICARE & MEDICAID SERVICES",OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22F0131&modNumber=P00013&idvAgencyID=&idvPIID=GS35F116AA&contractType=AWARD,7/16/2025,25532561.91
75N93018C00013,Department of Health and Human Services,"LAULIMA GOVERNMENT SOLUTIONS, LLC",138904838.57,"MANAGEMENT AND OPERATION OF THE HIGH CONTAINMENT INTEGRATED RESEARCH FACILITY AT FORT DETRICK, MD, NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93018C00013&modNumber=P00023&idvAgencyID=&idvPIID=&contractType=AWARD,7/31/2025,22739121.05
75D30124F19553,Department of Health and Human Services,HITE CONSULTING INC,27748318.58,OCIO SUPPORT SERVICE - EOI::GSA DEFEND THE SPEND::EOI NOTICE OF TERMINATION FOR CONVENIENCE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19553&modNumber=P00003&idvAgencyID=&idvPIID=GS00F233DA&contractType=AWARD,3/7/2025,22022577.26
75FCMC22F0024,Department of Health and Human Services,A SQUARE GROUP LLC,229500107.67,"COMPUTER SYSTEMS DESIGN SERVICES: WORKFLOW MANAGEMENT SYSTEM, NATIONAL INSTITUTES OF HEALTH INFORMATION TECHNOLOGY ACQUISITION AND ASSESSMENT CENTER",OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22F0024&modNumber=P00009&idvAgencyID=&idvPIID=75N98120D00007&contractType=AWARD,7/31/2025,21181187.49
Direct 8(a),Department of Health and Human Services,"Chickasaw Federal Health, LLC",22994054.28,Artificial Intelligence(AI) Planning and Support,NOT FOUND IN FPDS,,2/13/2025,20361612.78
75FCMC24F0188,Department of Health and Human Services,"LEWIN GROUP, INC., THE",22943610,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES: CONSOLIDATED LEARNING SYSTEM - INNOVATION IN BEHAVORIAL HEALTH (IBH)/TRANSFORMING MATERNAL HEALTH (TMAH)/CELL AND GENE THERAPY ACCESS (CGT) MODELS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0188&modNumber=P00003&idvAgencyID=&idvPIID=75FCMC19D0096&contractType=AWARD,9/9/2025,20027564
75FCMC24F0100,Department of Health and Human Services,THE MITRE CORPORATION,61306712,HEALTH R&D SERVICES; HEALTH CARE SERVICES; BASIC RESEARCH: SOLUTIONS TO SUPPORT INNOVATION IN PURSUIT OF AFFORDABLE AND BETTER HEALTH CARE,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0100&modNumber=P00003&idvAgencyID=&idvPIID=75FCMC23D0004&contractType=AWARD,9/30/2025,20000013
75D30122F15662,Department of Health and Human Services,RESEARCH TRIANGLE INSTITUTE,24584889,NATIONAL INTIMATE PARTNER AND SEXUAL VIOLENCE SURVEY,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F15662&modNumber=P00003&idvAgencyID=&idvPIID=GS00Q14OADU217&contractType=AWARD,4/30/2025,19992481
75D30123F18318,Department of Health and Human Services,"AVRAM CORPORATION, INC.",21874809.36,GLOBAL DATA TECHNICAL ASSISTANCE (GDATA) BPA CALL FOR CDC DEMOCRATIC REPUBLIC FOR THE CONGO (DRC),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F18318&modNumber=P00008&idvAgencyID=&idvPIID=75D30122A15015&contractType=AWARD,3/12/2025,19529623.51
75D30124C19300,Department of Health and Human Services,"GOLDBELT PROFESSIONAL SERVICES, LLC",22586348.96,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES EPB STAFFING CONTRACT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19300&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,18626624.96
75D30122F14127,Department of Health and Human Services,GUIDEHOUSE DIGITAL LLC,40001231.4,ORGANIZATIONAL PROGRAMMATIC SUPPORT (TO#3),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F14127&modNumber=P00008&idvAgencyID=&idvPIID=GS00Q14OADU136&contractType=AWARD,3/5/2025,18521652.43
75N91023F00001,Department of Health and Human Services,"OCTO CONSULTING GROUP, LLC",39147844.48,IT INFRASTRUCTURE AND OPERATIONS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023F00001&modNumber=P00005&idvAgencyID=&idvPIID=75N91023A00009&contractType=AWARD,5/12/2025,18408359
75N93018C00023,Department of Health and Human Services,"HAWAII BIOTECH, INC.",43027525,HEALTH APPLIED RESEARCH: DEVELOPMENT OF A SMALL MOLECULE DRUG ANTI-TOXIN THERAPEUTIC TO TREAT ANTHRAX IN HUMANS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93018C00023&modNumber=P00020&idvAgencyID=&idvPIID=&contractType=AWARD,7/29/2025,18402009
75N95024C00004,Department of Health and Human Services,THE MCLEAN HOSPITAL CORPORATION,20246653,HEALTH R&D SERVICES; HEALTH CARE SERVICES; BASIC RESEARCH: ASSESSMENT OF POTENTIAL SUBSTANCE ABUSE TREATMENT MEDICATIONS IN NONHUMAN PRIMATE MODELS.,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024C00004&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,9/22/2025,17554207.68
75FCMC23F0002,Department of Health and Human Services,"NEIL HOOSIER & ASSOCIATES, INC.",49423641.39,MEDICARE SECONDARY PAYER INTEGRATION CONTRACTOR (MSPIC) SERVICES.,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23F0002&modNumber=P00007&idvAgencyID=&idvPIID=GS00F337GA&contractType=AWARD,9/30/2025,16975545.32
75ACF123F80039,Department of Health and Human Services,K.L. SCOTT & ASSOCIATES LLC,29768907.99,"CHILD CARE AND DEVELOPMENT FUND, DATA AND INFORMATION SYSTEM CONSULTATION CENTER",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF123F80039&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA18D00GU&contractType=AWARD,5/22/2025,16568921
75ACF124F80019,Department of Health and Human Services,BLH TECHNOLOGIES INC,20397053,THIS IS A TIME AND MATERIALS CONTRACT WHERE THE CONTRACTOR SHALL PROVIDE TECHNICAL ASSISTANCE/CAPACITY BUILDING COMPONENTS TO IMPROVE THE SERVICES AND WELL-BEING OF THE LGBTQIA2S+ CHILD WELFARE AND THE PREVENTION COMMUNITY. THE CONTRACTOR SHALL PROVI,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124F80019&modNumber=P00001&idvAgencyID=&idvPIID=GS10F0064W&contractType=AWARD,1/30/2025,16562810
75N93021C00022,Department of Health and Human Services,"SPERO THERAPEUTICS, INC.",27032719.27,ADVANCE CLINICAL AND NON-CLINICAL DEVELOPMENT OF AN ANTIBIOTIC CANDIDATE.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93021C00022&modNumber=P00013&idvAgencyID=&idvPIID=&contractType=AWARD,4/23/2025,16531198
75D30124F00010,Department of Health and Human Services,"CHENEGA ENTERPRISE SYSTEMS & SOLUTIONS, LLC",16312459.2,PROJECT MGT - APP DESIGN,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F00010&modNumber=P00001&idvAgencyID=&idvPIID=75D30123D16080&contractType=AWARD,5/19/2025,15877089
75D30119F06803,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,35818019.41,ELECTRONIC DATA COLLECTION AND PROCESSING FOR THE NATIONAL HOSPITAL CARE SURVEY,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30119F06803&modNumber=P00013&idvAgencyID=&idvPIID=GS00F008DA&contractType=AWARD,9/22/2025,14684813.65
75D30124C20075,Department of Health and Human Services,"OJIBWE HAZARDOUS ABATEMENT, LLC",17935134,CONSULTATION & PROFESSIONAL SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C20075&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,2/13/2025,14557050
75F40124F19003,Department of Health and Human Services,OBAN CORPORATION,17652988.8,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES TO PROCURE A VARIETY OF ADMINISTRATIVE SERVICES THAT WILL FACILITATE AND SUPPORT OFFICE OF REGULATORY MANAGEMENT OPERATIONS (ORMO) / OFFICE OF BUDGET, FACILITIES, AND TRAVEL.",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F19003&modNumber=P00002&idvAgencyID=&idvPIID=75F40124D00001&contractType=AWARD,4/2/2025,14327923.2
75FCMC23F0130,Department of Health and Human Services,NATIONAL COMMITTEE FOR QUALITY ASSURANCE,20921400,MANAGEMENT CONSULTING SERVICES HEALTH EQUITY ACCELERATOR,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23F0130&modNumber=P00007&idvAgencyID=&idvPIID=GS10F0012Y&contractType=AWARD,5/16/2025,14207505
75FCMC22F0001,Department of Health and Human Services,"LEWIN GROUP, INC., THE",36996494,EVALUATION OF THE END-STAGE RENAL DISEASE TREATMENT CHOICES MODEL AND THE KIDNEY CARE CHOICES MODEL,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC22F0001&modNumber=P00007&idvAgencyID=&idvPIID=75FCMC19D0096&contractType=AWARD,10/2/2025,13964199
75N94024F00122,Department of Health and Human Services,GUIDEHOUSE INC.,46484082.31,NICHD BUSINESS ANALYSIS AND MANAGEMENT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024F00122&modNumber=P00003&idvAgencyID=&idvPIID=GS00F045DA&contractType=AWARD,3/24/2025,13945224.69
75D30123C16451,Department of Health and Human Services,"CHENEGA ENTERPRISE SYSTEMS & SOLUTIONS, LLC",19719631.88,"ADMINISTRATIVE, TECHNICAL AND PROFESSIONAL SUPPORT FOR DLS",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C16451&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/10/2025,13884867.52
75N91024F00004,Department of Health and Human Services,NOVA RESEARCH COMPANY,17014002.41,"MANAGEMENT OF RESEARCH AND TRAINING PROGRAMS TARGETED TO CANCER HEALTH EQUITY, AND MANAGEMENT OF SUBCONTRACTORS IN SUPPORT OF THE CENTER TO REDUCE CANCER HEALTH DISPARITIES",Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91024F00004&modNumber=P00001&idvAgencyID=&idvPIID=75N91020A00001&contractType=AWARD,7/25/2025,13786634.13
75N93023C00018,Department of Health and Human Services,ACCESS TO ADVANCED HEALTH INSTITUTE,18576013.05,"DEVELOPMENT OF VACCINE CANDIDATES FOR BIODEFENSE, ANTIMICROBIAL RESISTANT INFECTIONS AND EMERGING INFECTIOUS DISEASES",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93023C00018&modNumber=P00012&idvAgencyID=&idvPIID=&contractType=AWARD,4/30/2025,13557517
75N93021C00021,Department of Health and Human Services,"ABVACC, INC.",16905516,TO DEVELOP A POTENT THERAPEUTIC MARBURGVIRUS MONOCLONAL ANTIBODY.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93021C00021&modNumber=P00010&idvAgencyID=&idvPIID=&contractType=AWARD,4/24/2025,13460144
75D30121F11715,Department of Health and Human Services,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",16663419.92,SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30121F11715&modNumber=P00011&idvAgencyID=&idvPIID=GS00Q14OADU116&contractType=AWARD,3/24/2025,13267869.02
75N92023F00253,Department of Health and Human Services,Leidos,100040292.02,"Professional Support Services to improve the U.S. Government capabilities to speed research that can improve the health of Americans. Task areas include but are not limited to: Security Requirements, Service Desk Support,
 Application Development and Maintenance,
 Local Area Network Infrastructure Support, IT Infrastructure Support, and Cloud Services.",EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N92023F00253&modNumber=P00005&idvAgencyID=&idvPIID=GS35F116AA&contractType=AWARD,3/24/2025,13236602.78
75D30123C16580,Department of Health and Human Services,SUMMOME NATIVE VENTURES LLC,24979841.19,PROFESSIONAL AND ADMINISTRATIVE SUPPORT - PROFESSIONAL AND ADMINISTRATIVE SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C16580&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,3/13/2025,13104373.87
75N91022C00013,Department of Health and Human Services,"THERADEX SYSTEMS, INC.",151756070,CLINICAL TRIALS MONITORING SERVICE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91022C00013&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,6/26/2025,12979054
