payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
05/06/2025,1432763.46,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"SAMHSA Draw Information We are requesting payment of $1,432,763.46 for the period of 4/22/25 &ndash; 4/30/25 The requested funds will be allocated as follows: Personnel: $ Fringe Benefits: $ Travel: $ Equipment: $ Supplies: $ Contractual Services: $1,432,763.46 Other: $ Indirect Costs: $  We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",FL Department of Children and Families,
04/24/2025,1321569,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Contractural subawards: $1,321,674.00                                                These are for 4th quarter county payments to counties  who are providing mental health services for indidvidual with Serious Emotional Disturbance and Serious Mental Illness in Pennsylvania. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award
","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",PA ST DEPARTMENT OF PUBLIC WELFARE,
05/01/2025,1292126.17,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Expenditures included in this drawdown request consist of: Subawards/Contractual: $1,280,460.27; Supplies: $11,484.00; Travel: $181.90","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.","Research Foundation For Mental Hygiene, Inc.",
04/28/2025,1275122,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,March &#39;25 Contract Payments,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",ILLINOIS DEPT OF HUMAN SERVICES,
04/22/2025,1238706.19,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment Request for SAMHSA Grant [1H79TI087780-01] We are requesting a payment of $[1,238,706.19] for the period [01/01/2025-04/25/2025]. The requested funds will be allocated as follows: &bull; Personnel: $[0.00] &bull; Fringe Benefits: $[0.00] &bull; Travel: $[0.00] &bull; Equipment: $[0.00] &bull; Supplies: $[0.00] &bull; Contractual/Subawards: $[1,238,706.19] &bull; Other: $[0.00] &bull; Indirect Costs: $[0.00] These funds will support the following grant activities in the NoA: [State Opioid Response Treatment &amp; Recovery]. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with 45 CFR Part 75, 2 CFR Part 200, the NOFO, and the HHS Grants Policy Statement.","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",VA Dept of Behavioral Health and Developmental Services,
04/25/2025,1229894,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Reimbursement for allowable grant expenditures/activities as outlined within submitted grant application and federally approved grant award,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,
04/25/2025,1223775.63,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment Request- $1,223,775.63
Period- 03-24-2025-04-18-2025
We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award.

Regular Salaries	 39,905.54 
Annual Leave Pay	 7,091.58 
FICA - Regular	 2,788.78 
FICA - Medicare	 652.20 
Retirement - ERS	 10,179.82 
Retirement - ERS GSEPS (401k)	 1,995.26 
Health Insurance	 13,842.57 
In State - Mileage	 155.40 
In State - Meals	 525.00 
In State - Lodging	 858.35 
Contracts - Nonprofit Orgs	 870,270.55 
Contracts - Other	 714,370.31 
Fed Govt Grants - Direct	 (1,310,148.72)
Reserved for Encumbrances	 (4,210,131.86)
Contracts - Nonprofit Orgs	 996,033.49 
Contracts - Other	 3,214,098.37 
Regular Salaries	 87,486.84 
FICA - Regular	 5,179.69 
FICA - Medicare	 1,211.34 
Retirement - ERS	 22,570.08 
Retirement - ERS GSEPS (401k)	 2,692.32 
Health Insurance	 25,768.38 
Contracts - Nonprofit Orgs	 4,964,498.00 
Contracts - Other	 1,822,179.72 
Fed Govt Grants - Direct	 (5,917,153.31)
Contracts - Nonprofit Orgs	 (143,144.07)
Reserved for Encumbrances	 (10,647,422.47)
Contracts - Nonprofit Orgs	 8,066,441.19 
Contracts - Other	 2,580,981.28 
Total Request Net- 1,223,775.63","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.",GA Dept of Behavioral Health and DE,
04/23/2025,1159433,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,February 2025 and March 2025 Contractual Payments,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.",ILLINOIS DEPT OF HUMAN SERVICES,
04/30/2025,1156805.25,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Expenditures are submitted in alignment with the federally approved budget or state plan for applicable Federal Award Identification Number and comply with all requirements listed in 2 CFR 200 Subpart E &ndash; Cost Principles.,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",HEALTH & HUMAN SVC COMMN TX,
04/17/2025,1123680.49,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Recovery support services to service recipients that are recovering from life impairments because of substance use disorder(s),"SAMHSA approves payment in line with the terms and conditions of the Notice of Award, 45 CFR Part 96, 45 CFR Part 75, and current Executive Orders. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered. ",TN ST DEPT OF MNTL HLTH and Substance Abuse Services ,
04/23/2025,1123674,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Contractual subawards: $1,123,674.00                                                               These are for 4th quarter county payments to counties  who are providing mental health services for indidvidual with Serious Emotional Disturbance and Serious Mental Illness in Pennsylvania. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award
","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",PA ST DEPARTMENT OF PUBLIC WELFARE,
04/29/2025,1118955.25,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Reimbursement of payroll and/or services and/or supplies expenses for the program,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",MA ST DEPARTMENT OF PUBLIC HEALTH,
05/06/2025,1097484.2,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment request for SAMHSA grant B08TI083964.We are requesting a payment of $1,097,484.20 for the period  4/8/2025 - 4/30/2025.The requested funds are for the following costs:Personnel$3,274.96*Fringe Benefits$1,931.35*Contractual/Subawards:$1,091,425.95*Indirect Costs$851.95.The funds support the following activities:Cost allocation for human resource services provided to DDAP based on the number of employees.Funds provided to SCA&#39;s for the provisions of Prevention, Treatment, and Recovery Services.Funds provided through Grant Initiative Funding Applications to Grantees for Pregnancy Support, Harm Reduction, and Employment Support Services.For telecommunications.Funds provided through grant agreement to Grantee to implement Addiction Treatment Locator, Assessment, and Standards (ATLAS) platform.Funds for Adobe Pro Licensing.Funds for personnel costs and fringe benefits for applicable department staff.We certify that the costs are allowable, allocable, reasonable, and necessary in acco","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",PA ST Department of Drug and Alcohol Programs,
04/24/2025,1094915.83,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"The Grant is for Washington State Opioid Response.

We are requesting a payment of $1,094,915.83 for expenditures occurring between 9/30/24-9/29/25 and processed between during the period of 4/9/25-4/24/25. The requested funds will be allocated as follows: Contractual/Subawards: $1,094,915.83. 

We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award.
","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",Health Care Authority,
04/24/2025,1092258.53,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"This funding supports a variety of youth and adult mental health services, including Program of Assertive Community Treatment for Youth, First Episode Psychosis Treatment, Community and School Therapeutic Support, Psych Residency Training, Homeless Supports, and Respite.","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.",MA ST DEPARTMENT OF MENTAL HEALTH,
05/06/2025,1065527.6,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Expenditures that pay operational expenses for activities to prevent and treat substance abuse,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",SC ST COMM ON ALCOHOL/DRUG ABUSE,
05/09/2025,1057637.64,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Reimbursement of Spent Funds. To provide financial assistance to States and Territories to support projects for the development and implementation of prevention, treatment and rehabilitation activities directed to the diseases of alcohol and drug abuse.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",NYS Office of Alcoholism and Substance Abuse Services,
04/25/2025,1048253.33,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment Request- $1,048,253.33
Period- 03-24-2025-04-18-2025
We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award.

Fed Govt Grants - Direct	 0.01 
Fed Govt Grants - Direct	 269,163.86 
Fed Govt Grants - Direct	 16,051,523.64 
Contracts - Nonprofit Orgs	 920,602.16 
Contracts - Other	 1,651,653.92 
Regular Salaries	 70,784.92 
FICA - Regular	 4,023.14 
FICA - Medicare	 940.91 
Retirement - ERS	 18,057.06 
Retirement - ERS GSEPS (401k)	 3,539.18 
Health Insurance	 20,849.06 
S&M-Office	 2,927.71 
Freight	 16,706.98 
In State - Mileage	 343.04 
In State - Meals	 145.00 
In State - Lodging	 712.00 
Contracts - Nonprofit Orgs	 129,929.50 
Contracts - Other	 1,400,679.29 
Contracts - Nonprofit Orgs	 (0.01)
Fed Govt Grants - Direct	 (122,264.61)
Contracts - Nonprofit Orgs	 (35,000.02)
Contracts - Other	 (111,899.23)
Fed Govt Grants - Direct	 (14,754,473.70)
PD&F-Temporary Services	 (125.26)
Contracts - Nonprofit Orgs	 (1,143,993.91)
Contracts - Other	 (2,725,186.85)
Fed Govt Grants - Direct	 (1,384,676.34)
Reserved for Encumbrances	 (0.01)
Contracts - Nonprofit Orgs	 0.01 
Reserved for Encumbrances	 (780,947.84)
PD&F-Temporary Services	 67.62 
Contracts - Nonprofit Orgs	 57,187.43 
Contracts - Other	 723,692.79 
Reserved for Encumbrances	 (1,165,886.14)
Contracts - Nonprofit Orgs	 511,822.56 
Contracts - Other	 654,063.58 
Fed Govt Grants - Direct	 1,462,787.48 
Fed Govt Grants - Direct	 8,260,468.47 
Contracts - Nonprofit Orgs	 4,765,464.43 
Contracts - Other	 1,546,335.41 
Regular Salaries	 151,001.64 
Annual Lv 40hr max Conv Payout	 1,430.44 
FICA - Regular	 8,881.03 
FICA - Medicare	 2,076.89 
Retirement - ERS	 38,776.19 
Retirement - ERS GSEPS (401k)	 4,837.45 
Health Insurance	 44,475.89 
S&M-Office	 5,000.00 
OOE - Dues & Subscriptions	 1,375.67 
OOE-Other	 5,616.00 
In State - Mileage	 64.99 
In State - Meals	 273.00 
In State - Lodging	 257.00 
In State - Rental Car	 1,179.98 
In State - Rental Car Fuel	 302.33 
In State-Travel Agency Fees	 38.43 
Out of State- Mileage	 28.14 
Out of State- Meals	 335.00 
Out of State- Lodging	 1,402.95 
Out of State- Commercial Trans	 531.58 
Voice/Data Com Svc- Key System	 941.38 
Contracts - Nonprofit Orgs	 4,293,635.32 
Contracts - Other	 3,462,308.47 
Contracts - Nonprofit Orgs	 (910,298.76)
Contracts - Other	 (552,488.72)
Fed Govt Grants - Direct	 (6,342,036.01)
FICA - Regular	 (0.45)
FICA - Medicare	 (0.11)
S&M-Office	 (745.00)
Contracts - Nonprofit Orgs	 (5,094,217.87)
Contracts - Other	 (3,135,268.87)
Fed Govt Grants - Direct	 (7,136,844.91)
Contracts - Nonprofit Orgs	 (101,458.33)
Contracts - Other	 (23,174.65)
Reserved for Encumbrances	 (521,051.71)
Contracts - Other	 521,051.71 
Reserved for Encumbrances	 (745.00)
S&M-Office	 745.00 
Reserved for Encumbrances	 (1,255,317.13)
Contracts - Other	 1,255,317.13 
Reserved for Encumbrances	 (6,043,364.78)
Contracts - Nonprofit Orgs	 3,797,007.53 
Contracts - Other	 2,246,357.25 
Draw Request Net- 1,048,253.33","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.",GA Dept of Behavioral Health and DE,
