billing_npi,provider_name,city,zip,provider_type,total_paid,total_claims,total_beneficiaries,cost_per_claim,cost_per_beneficiary,claims_per_beneficiary,months_active,unique_hcpcs_codes
1770738650,ASL-DEN LLC,WEST PALM BEACH,33401,NPI-2,5402737.42,172266,156702,31.36,34.48,1.1,66,34
1144593435,"PRESERVATION PARK EMERGENCY PHYSICIANS, LLC",LOXAHATCHEE,33470,NPI-2,5297257.76,70675,62441,74.95,84.84,1.1,62,5
1376885228,GREENACRES DIALYSIS CENTER LLC,GREENACRES,33463,NPI-2,5071725.07,25125,7086,201.86,715.74,3.5,51,26
1871526202,ATLANTIC KIDNEY CENTER LLC,WEST PALM BEACH,33407,NPI-2,4810547.86,30309,7632,158.72,630.31,4.0,59,24
1740505585,,,,,4788590.96,105363,26712,45.45,179.27,3.9,79,4
1033195474,MD NOW MEDICAL CENTERS INC,WEST PALM BEACH,33409,NPI-2,4757577.62,74206,62207,64.11,76.48,1.2,73,27
1073549663,NEOGENOMICS LABORATORIES INC,JUNO BEACH,33408,NPI-2,4727783.87,81845,62320,57.77,75.86,1.3,82,56
1780658153,,,,,4718740.14,83888,59329,56.25,79.54,1.4,55,9
1780232876,NEW LIFE WELLNESS COMMUNITY LLC,GREENACRES,33463,NPI-2,4496485.6,91132,10502,49.34,428.16,8.7,39,5
1073797437,"ALMOST FAMILY PC OF WEST PALM, LLC",WEST PALM BEACH,33409,NPI-2,4454621.68,105247,7134,42.33,624.42,14.8,61,4
1639138480,,,,,4412231.43,716476,673485,6.16,6.55,1.1,74,66
1134189103,,,,,4399294.11,51136,39295,86.03,111.96,1.3,84,23
1134593429,"ADVANCED CHILDREN'S THERAPY, INC.",LAKE WORTH,33461,NPI-2,4256879.2,74301,24035,57.29,177.11,3.1,49,5
1952728131,,,,,4221640.41,88288,66637,47.82,63.35,1.3,73,38
1659417467,,,,,4216863.51,165827,126943,25.43,33.22,1.3,83,64
1982265138,,,,,4215859.06,34386,3734,122.6,1129.05,9.2,27,4
1124449335,"AT TALITHA CUMI HOME CARE, INC.",WEST PALM BEACH,33417,NPI-2,4007298.5,67736,4172,59.16,960.52,16.2,19,5
1568041713,,,,,3883300.28,34183,3733,113.6,1040.26,9.2,13,5
1255891222,,,,,3871491.13,35538,2599,108.94,1489.61,13.7,23,4
1285998096,ALZHEIMER'S COMMUNITY CARE,WEST PALM BEACH,33407,NPI-2,3773854.96,84084,4057,44.88,930.21,20.7,70,2
1588805451,AMERICAN CLINICAL SOLUTIONS LLC,RUSKIN,33573,NPI-2,3770478.12,318648,247299,11.83,15.25,1.3,79,48
1497906978,ASTRACARE LLC,BOCA RATON,33431,NPI-2,3696672.61,58408,3241,63.29,1140.6,18.0,20,2
1881796167,"BIO-MEDICAL APPLICATIONS OF FLORIDA, INC.",BOYNTON BEACH,33436,NPI-2,3663175.95,23437,8001,156.3,457.84,2.9,41,26
1124611751,"ALL HEALTH CARE & COMMUNITY SERVICES, LLC",WEST PALM BEACH,33409,NPI-2,3593664.0,40244,2380,89.3,1509.94,16.9,43,1
1760838015,CHRYSALIS ABA THERAPY CORP,DELRAY BEACH,33484,NPI-2,3364133.18,22711,4259,148.13,789.89,5.3,60,8
1265073159,HHA ASSOCIATES LLC,MIAMI,33155,NPI-2,3212597.33,97510,47402,32.95,67.77,2.1,53,15
1326320524,,,,,3202858.82,80471,76125,39.8,42.07,1.1,72,53
1588108724,PARADISE THERAPEUTIC ADULT DAY CARE CENTER INC.,GREENACRES,33467,NPI-2,3091055.5,54970,3436,56.23,899.61,16.0,79,2
1033168976,ATLANTIC PALM BEACH AMBULANCE INC,LAKE WORTH,33461,NPI-2,3081037.12,89142,52730,34.56,58.43,1.7,84,8
1992216568,ELITE MEDICAL SERVICES AT LAKESIDE LLC,BELLE GLADE,33430,NPI-2,3033433.06,44339,40666,68.41,74.59,1.1,79,6
1720325517,DISTRICT CLINIC HOLDINGS INC,LANTANA,33462,NPI-2,3007511.75,65273,5483,46.08,548.52,11.9,70,16
1548801848,CARESQUARE OF FLORIDA LLC,DELRAY BEACH,33445,NPI-2,2976397.57,4661,670,638.57,4442.38,7.0,41,1
1366828394,"CSI-PEDIATRIC SERVICES, LLC.",PALM SPRINGS,33461,NPI-2,2971763.88,18092,1567,164.26,1896.47,11.5,52,4
1215182712,"FOUNDCARE, INC.",PALM SPRINGS,33406,NPI-2,2959871.71,315474,242929,9.38,12.18,1.3,84,130
1033167721,"SOUTH COUNTY MENTAL HEALTH CENTER, INC.",DELRAY BEACH,33484,NPI-2,2908882.14,79321,42479,36.67,68.48,1.9,84,9
1558803056,,,,,2859016.0,26653,2085,107.27,1371.23,12.8,28,3
1720147275,,,,,2839329.27,72627,63185,39.09,44.94,1.1,80,63
1134608102,,,,,2716613.0,20130,2304,134.95,1179.09,8.7,24,3
1518978626,CARDIOLOGY PARTNERS PL,WELLINGTON,33449,NPI-2,2682043.44,113053,87157,23.72,30.77,1.3,84,45
1245981760,ROYAL AZ LLC,PRESCOTT,86305,NPI-2,2659102.24,10356,828,256.77,3211.48,12.5,22,1
1104471564,"CHERRY OAK PALM BEACH COUNTY, LLC",LANTANA,33462,NPI-2,2626415.75,2161,1895,1215.37,1385.97,1.1,58,1
1720038391,EMERGENCY SPECIALISTS OF WELLINGTON LLC,WELLINGTON,33414,NPI-2,2609041.34,54115,43973,48.21,59.33,1.2,67,6
1598103004,"DISTRICT CLINIC HOLDINGS, INC.",WEST PALM BEACH,33401,NPI-2,2582193.83,180954,161097,14.27,16.03,1.1,82,96
1942553144,,,,,2564034.2,53967,50898,47.51,50.38,1.1,68,46
1972533271,,,,,2561179.48,119142,5529,21.5,463.23,21.5,70,4
1376060822,PEDIPEC INC.,ROYAL PALM BEACH,33411,NPI-2,2548486.61,12051,1063,211.48,2397.45,11.3,56,1
1073136339,,,,,2547590.33,23085,2284,110.36,1115.41,10.1,12,7
1598871014,HECTOR DIAZ DE VILLEGAS,PALM SPRINGS,33406,NPI-1,2533134.4,63013,59175,40.2,42.81,1.1,59,52
1669137527,"CHIBAR GROUP FL, INC.",GREENACRES,33415,NPI-2,2507111.61,10365,842,241.88,2977.57,12.3,25,2
1205408192,LOVIN' ARMS INC,GREENACRES,33463,NPI-2,2440112.96,9666,502,252.44,4860.78,19.3,24,1
1710126537,PREMIER ASSOCIATES FOR THE HEALTHCARE OF WOMEN LLC,BELLE GLADE,33430,NPI-2,2366306.23,56150,41093,42.14,57.58,1.4,81,42
1639502016,COOPER ORTHODONTICS LLC,ROYAL PALM BEACH,33411,NPI-2,2356897.94,32639,31013,72.21,76.0,1.1,50,3
1124344528,"SPEECH AND LEARNING INSTITUTE, INC.",NORTH PALM BEACH,33408,NPI-2,2353542.6,43254,11342,54.41,207.51,3.8,73,2
1811261928,,,,,2349342.01,38023,6425,61.79,365.66,5.9,71,2
1730287673,COAST FLORIDA P.A.,TAMPA,33634,NPI-2,2344323.23,134279,99550,17.46,23.55,1.3,55,37
1467897918,,,,,2310074.25,16134,2039,143.18,1132.94,7.9,33,5
1386136570,,,,,2298145.33,56447,49573,40.71,46.36,1.1,70,57
1982673372,CONSULTANTS IN LABORATORY MEDICINE OF GREATER TOLEDO,TOLEDO,43606,NPI-2,2282402.44,68904,66559,33.12,34.29,1.0,84,52
1538446752,"OCEANS PEDIATRICS, INC.",LOXAHATCHEE,33470,NPI-2,2236852.72,45061,41337,49.64,54.11,1.1,72,44
1528003365,,,,,2233397.25,66589,58577,33.54,38.13,1.1,74,42
1275951030,,,,,2230899.47,121036,98652,18.43,22.61,1.2,74,30
1891173787,IDEAL STAY ADULT DAY CARE AND REHAB CENTER INC.,GREENACRES,33415,NPI-2,2188190.2,38515,2467,56.81,886.98,15.6,68,2
1902270705,JASON DALE,JUPITER,33458,NPI-1,2163422.26,112330,99935,19.26,21.65,1.1,49,28
1346602331,,,,,2157982.69,41084,6680,52.53,323.05,6.2,73,3
1740310853,,,,,2126503.55,66482,55922,31.99,38.03,1.2,79,57
1114550407,,,,,2124003.0,19385,1555,109.57,1365.92,12.5,15,3
1912389925,"ESSENTIAL HEALING OF SOUTH FLORIDA, INC.",GREENACRES,33463,NPI-2,2052785.34,11065,1346,185.52,1525.1,8.2,42,5
1487613907,ADULT AND PEDIATRIC DERMATOLOGY PRACTITIONERS P A,BOYNTON BEACH,33426,NPI-2,2005806.12,44947,41668,44.63,48.14,1.1,54,18
1730407370,"ARDENT HOME CARE, INC.",BOCA RATON,33432,NPI-2,1986088.77,47853,2850,41.5,696.87,16.8,70,4
1053720243,FOUNDATION FOR SICKLE CELL DISEASE RESEARCH,HOLLYWOOD,33023,NPI-2,1972665.6,262922,32317,7.5,61.04,8.1,59,43
1366861569,"4KIDS OF SOUTH FLORIDA, INC.",FT LAUDERDALE,33309,NPI-2,1970514.96,34571,14593,57.0,135.03,2.4,71,3
1033773874,,,,,1921176.8,20751,1912,92.58,1004.8,10.9,14,5
1033654405,BLESSING HANDS SERVICES INC,PALM SPRINGS,33461,NPI-2,1898479.48,16096,748,117.95,2538.07,21.5,43,2
1720362056,,,,,1865253.84,29499,21639,63.23,86.2,1.4,75,22
1700990108,,,,,1856581.18,40828,33839,45.47,54.87,1.2,78,64
1922788959,EM ALLIANCE LLC,WELLINGTON,33414,NPI-2,1809631.67,36594,30832,49.45,58.69,1.2,17,5
1235698556,"PEDIATRIC & GENERAL DENTISTRY OF PALM BEACH, PA",PALM SPRINGS,33461,NPI-2,1804032.07,130460,113704,13.83,15.87,1.1,41,27
1285618751,BWTII INC,TAMPA,33619,NPI-2,1803247.38,4501,234,400.63,7706.19,19.2,6,2
1508050147,CFSATC INC,LAKE WORTH,33461,NPI-2,1790316.89,44999,18188,39.79,98.43,2.5,82,5
1003567207,SEAGLASS AZ LLC,PRESCOTT,86305,NPI-2,1780642.55,6987,560,254.85,3179.72,12.5,21,1
1912446659,,,,,1735075.12,13486,1738,128.66,998.32,7.8,9,5
1518089945,,,,,1731536.55,150463,77324,11.51,22.39,1.9,83,72
1437377702,CHILDRENS GASTROENTEROLOGY OF SOUTH FLORIDA,LOXAHATCHEE,33470,NPI-2,1704026.73,14660,13996,116.24,121.75,1.0,80,11
1114360039,,,,,1667677.3,52161,7992,31.97,208.67,6.5,82,6
1861574030,,,,,1647243.25,38146,34640,43.18,47.55,1.1,69,39
1063018687,"AMERICAN PEDIATRIC DENTAL LAKE WORTH, INC",LAKE WORTH,33460,NPI-2,1642929.94,109142,97544,15.05,16.84,1.1,41,23
1699964551,CHILDRENS DENTAL PLACE OF WELLINGTON INC,WELLINGTON,33414,NPI-2,1627208.93,108291,96253,15.03,16.91,1.1,46,24
1386994952,PEDIATRIC CARE CENTER NO2 INC,PALM SPRINGS,33406,NPI-2,1624650.99,59054,51699,27.51,31.43,1.1,72,58
1447312053,TASKIN U HAQUE M.D. P.A.,BELLE GLADE,33430,NPI-2,1590672.21,28010,25579,56.79,62.19,1.1,73,31
1467499038,"SOMA MEDICAL CENTER, PA",PALM SPRINGS,33406,NPI-2,1572196.08,139667,121640,11.26,12.92,1.1,84,88
1942526298,,,,,1571967.72,703273,460307,2.24,3.42,1.5,66,143
1558378679,PARENT-CHILD CENTER,RIVIERA BEACH,33404,NPI-2,1564014.67,29120,13037,53.71,119.97,2.2,17,5
1972183432,"TRIDENT ACQUISITION CONSULTANTS I, LLC",BRANDON,33511,NPI-2,1554940.47,1135,1014,1369.99,1533.47,1.1,33,1
1366639262,ANGELOS KOUTSONIKOLIS MD PA,BOYNTON BEACH,33437,NPI-2,1544569.63,37460,20273,41.23,76.19,1.8,81,10
1477204683,ROYAL WA SUMNER LLC,SUMNER,98390,NPI-2,1529976.93,4601,635,332.53,2409.41,7.2,23,2
1568911683,BEHAVIORAL STRIDES THERAPY,DELRAY BEACH,33484,NPI-2,1491659.35,13681,2500,109.03,596.66,5.5,60,4
1710436845,,,,,1489074.85,32379,7380,45.99,201.77,4.4,71,6
1629401898,"DAYTON ANESTHESIA & PAIN SERVICES, LLC",DAYTON,45405,NPI-2,1485145.63,14152,10441,104.94,142.24,1.4,82,20
1508391020,,,,,1475141.66,18362,14690,80.34,100.42,1.2,33,20
1912172024,,,,,1468440.95,594180,318453,2.47,4.61,1.9,50,130
1558911529,,,,,1462475.5,18670,1311,78.33,1115.54,14.2,15,3
1184075038,,,,,1460724.98,6258,5668,233.42,257.71,1.1,58,6
1922471283,"A TO Z SENIOR CARE, LLC",WEST PALM BEACH,33411,NPI-2,1447001.25,24671,2066,58.65,700.39,11.9,68,3
1003881210,AM RYWLIN MD AND ASSOC PA,MIAMI BEACH,33140,NPI-2,1439842.69,518279,339430,2.78,4.24,1.5,84,98
1265838320,ATLANTIC SAURY INPATIENT SERVICES LLC,LAKE WORTH,33462,NPI-2,1438091.6,45895,20356,31.33,70.65,2.3,44,14
1730663758,,,,,1430729.41,13522,1119,105.81,1278.58,12.1,41,4
1295145704,SOMA MEDICAL CENTER PA 6,PALM SPRINGS,33461,NPI-2,1429695.66,115283,98405,12.4,14.53,1.2,73,92
1558750281,,,,,1422623.35,25123,18298,56.63,77.75,1.4,73,17
1831787845,"KIDS IN-CARE, INC",GREENACRES,33467,NPI-2,1420512.43,11669,1246,121.73,1140.06,9.4,19,4
1336755628,,,,,1409895.28,12293,1381,114.69,1020.92,8.9,12,3
1639172869,,,,,1405165.4,56333,44808,24.94,31.36,1.3,81,50
1689049900,CERTIFIED SPINE AND PAIN CARE LLC,WELLINGTON,33414,NPI-2,1396632.5,52154,38487,26.78,36.29,1.4,73,13
1699702134,CITY OF BOYNTON BEACH,BOYNTON BEACH,33435,NPI-2,1377411.67,20810,15249,66.19,90.33,1.4,83,3
1396101192,AMBASSADOR HEALTH SERVICES INC,FORT MYERS,33966,NPI-2,1347587.88,2445,129,551.16,10446.42,19.0,10,1
1699037697,"ALPHA ALLIED HOME CARE, INC.",JUPITER,33458,NPI-2,1337025.0,17788,1675,75.16,798.22,10.6,37,3
1356376867,,,,,1322971.76,70102,59330,18.87,22.3,1.2,73,50
1477503175,PALMS WEST SURGERY CENTER LTD,LOXAHATCHEE,33470,NPI-2,1287908.03,3987,3646,323.03,353.24,1.1,71,8
1881961290,,,,,1284817.44,20810,20546,61.74,62.53,1.0,64,9
1295123172,"BANYAN REALTY BR, LLC",BOCA RATON,33431,NPI-2,1273143.78,1139,1057,1117.77,1204.49,1.1,38,1
1437377439,,,,,1268555.85,28109,26608,45.13,47.68,1.1,84,24
1477806115,"BRAD D. SIMONS, MD,PHD, PA",JUPITER,33477,NPI-2,1250787.56,27269,22922,45.87,54.57,1.2,76,19
1225071459,,,,,1246852.31,24920,18809,50.03,66.29,1.3,83,6
1235326760,PALM BEACH GENERAL SURGERY LLC,LOXAHATCHEE,33470,NPI-2,1243435.92,48965,32312,25.39,38.48,1.5,84,27
1760682231,"FLORIDA ENT ASSOCIATES, INC.",BOCA RATON,33434,NPI-2,1230118.13,27967,11887,43.98,103.48,2.4,25,14
1003087537,MULTICULTURAL COMMUNITY MENTAL HEALTH CENTER INC,PALM SPRINGS,33406,NPI-2,1228707.57,23830,10088,51.56,121.8,2.4,51,5
1275184855,,,,,1216921.0,11241,1124,108.26,1082.67,10.0,15,4
1528238276,,,,,1207552.54,17216,13422,70.14,89.97,1.3,62,20
1033824313,"FLORIDA DENTAL TEAM, LLC",PALM SPRINGS,33461,NPI-2,1202295.77,43269,22861,27.79,52.59,1.9,17,22
1598417263,BANYAN BOCA FL MANAGEMENT LLC,BOCA RATON,33431,NPI-2,1193508.68,773,772,1544.0,1546.0,1.0,26,1
1760590962,,,,,1182495.62,21744,14627,54.38,80.84,1.5,81,15
1962474288,MELISSA SINGER,LOXAHATCHEE,33470,NPI-1,1180631.72,12167,10480,97.04,112.66,1.2,77,12
1174775662,,,,,1156886.3,12734,1585,90.85,729.9,8.0,29,3
1174168843,,,,,1153225.16,21127,6103,54.59,188.96,3.5,59,10
1487988754,AMZI INC,DELRAY BEACH,33445,NPI-2,1146786.23,17770,1615,64.53,710.08,11.0,24,4
1346794948,"BIO-MEDICAL APPLICATIONS OF FLORIDA, INC.",WELLINGTON,33414,NPI-2,1146438.78,4856,1105,236.09,1037.5,4.4,21,14
1194736207,CITY OF RIVIERA BEACH,RIVIERA BEACH,33404,NPI-2,1138255.79,18692,13755,60.9,82.75,1.4,83,3
1659666444,SHUKAIRO BAKER,ROCK HILL,29730,NPI-1,1136348.84,10596,4952,107.24,229.47,2.1,29,8
1477047256,AMERICAN ARTHRITIS & RHEUMATOLOGY ASSOCIATES IN LLC,WESTFIELD,46062,NPI-2,1126111.62,4353,3557,258.7,316.59,1.2,45,11
1992746879,,,,,1120141.47,12105,10419,92.54,107.51,1.2,61,12
1821588674,,,,,1118581.3,16576,11114,67.48,100.65,1.5,36,8
1093072605,"MULTICULTURAL CARE CENTERS, LLC",MIAMI GARDENS,33169,NPI-2,1114921.98,13266,4035,84.04,276.31,3.3,18,7
1659640282,ACCOUNTABLE CARE HOSPITALIST GROUP,WELLINGTON,33414,NPI-2,1106654.2,41144,13912,26.9,79.55,3.0,78,9
1336890854,ROYAL WA LACEY LLC,LACEY,98516,NPI-2,1096806.66,4971,523,220.64,2097.14,9.5,21,5
1780982058,,,,,1069770.26,9849,9023,108.62,118.56,1.1,48,22
1841408283,"ACCESS MEDICAL LABORATORIES, INC.",JUPITER,33458,NPI-2,1061703.37,30497,26439,34.81,40.16,1.2,14,3
1174976468,BLUE RADIOLOGY SERVICES LLC,WELLINGTON,33414,NPI-2,1053911.22,68498,52316,15.39,20.15,1.3,83,28
1639541006,"ARFA DENT, INC",BOCA RATON,33433,NPI-2,1050240.76,97903,90983,10.73,11.54,1.1,48,22
1972965119,FERNANDO MUNOZ DDS PA,PALM SPRINGS,33406,NPI-2,1047058.17,126616,90726,8.27,11.54,1.4,50,34
1053691485,,,,,1023010.4,61647,57879,16.59,17.67,1.1,44,19
1154733632,CASTILLO & TORRES MD PA,PALM SPRINGS,33406,NPI-2,1014656.83,76432,62879,13.28,16.14,1.2,84,50
1518305747,,,,,1007076.81,16697,7514,60.31,134.03,2.2,72,4
1700308004,,,,,1005297.0,7343,654,136.91,1537.15,11.2,13,3
1750808531,,,,,986574.05,11315,3040,87.19,324.53,3.7,32,6
1174539696,"ADAMS & STEPHENS, PA",WEST PALM BEACH,33407,NPI-2,986182.74,8004,7547,123.21,130.67,1.1,74,5
1013668078,ROYAL WA SPOKANE LLC,MEAD,99021,NPI-2,978964.07,4308,518,227.24,1889.89,8.3,18,8
1194854034,,,,,973009.89,10892,10391,89.33,93.64,1.0,59,4
1639631047,,,,,964650.0,8317,677,115.99,1424.89,12.3,19,3
1972161461,,,,,964601.62,9517,1076,101.36,896.47,8.8,11,4
1962075507,HAPPY HOUSE SOCIAL CLUB LLC,GREENACRES,33463,NPI-2,960704.49,12676,1076,75.79,892.85,11.8,35,1
1467514398,SP BEHAVIORAL LLC,TEQUESTA,33469,NPI-2,957848.78,126,125,7601.97,7662.79,1.0,7,1
1043917180,,,,,956932.98,24489,16447,39.08,58.18,1.5,21,8
1043882988,"FLORIDA WOMAN CARE, LLC",WELLINGTON,33414,NPI-2,950441.04,14070,12787,67.55,74.33,1.1,33,21
1578853263,"LASZLO J. MATE, M.D., P.A.",NORTH PALM BEACH,33408,NPI-2,928507.56,4423,4299,209.93,215.98,1.0,55,4
1366539421,,,,,922473.78,13465,12657,68.51,72.88,1.1,65,16
1619965795,,,,,914138.5,19736,13945,46.32,65.55,1.4,84,23
1942977426,,,,,908928.75,15850,12648,57.35,71.86,1.3,36,7
1760991558,BEHAVIOR ANALYTIC STRATEGIES,BOCA RATON,33432,NPI-2,899338.77,3964,254,226.88,3540.7,15.6,17,2
1730416777,"CASTLE THERAPY, LLC",TEQUESTA,33469,NPI-2,888981.52,18967,4587,46.87,193.8,4.1,55,3
1699863936,"BETHESDA HEALTH PHYSICIAN GROUP, INC.",BOYNTON BEACH,33435,NPI-2,887966.34,26792,20569,33.14,43.17,1.3,80,32
1356377576,,,,,884048.23,4835,4783,182.84,184.83,1.0,38,3
1730691700,,,,,881599.5,6410,699,137.54,1261.23,9.2,8,3
1275079097,,,,,880246.83,7364,2794,119.53,315.05,2.6,39,3
1679505432,CITY OF DELRAY BEACH,DELRAY BEACH,33444,NPI-2,879693.37,13628,9838,64.55,89.42,1.4,83,3
1962434969,,,,,867829.77,31077,18144,27.93,47.83,1.7,82,17
1114140092,PHYSICIANS PARK MEDICAL GROUP INC,BELLE GLADE,33430,NPI-2,858172.86,24186,22495,35.48,38.15,1.1,72,32
1386823243,,,,,850921.92,12965,10544,65.63,80.7,1.2,41,14
1184062259,"EXTENDED CARE PORTFOLIO FLORIDA TENANT, LLC",GREENACRES,33467,NPI-2,834844.81,866,778,964.02,1073.07,1.1,52,1
