date,agency,recipient,value,savings,link,description
3/23/2025,Department of Health and Human Services,STATE OF OHIO - DEPARTMENT OF HEALTH,672805694,220743894,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,353260431,212550685,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HEALTH,324608098,181926675.69,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,OK ST DEPARTMENT OF HEALTH,227756852,180896063,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"HEALTH RESEARCH, INC.",639861809,179233991.33,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,TN ST DEPARTMENT OF HEALTH,393076212,178834839,,"Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC) - Building and Strengthening Epidemiology, Laboratory and Health Information Systems Capacity"
3/24/2025,Department of Health and Human Services,"HEALTH, MARYLAND DEPARTMENT OF",347979565,177168331.8,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,335129886,158179047.86,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,AL ST DEPARTMENT OF PUBLIC HEALTH,282219400,156991409,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,613790442,156223437.91,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,VA ST DEPARTMENT OF HEALTH,491290671,145127130,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",331463532,127558542.12,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"HEALTH, PENNSYLVANIA DEPARTMENT OF",301036686,121665480.65,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,MS ST DEPARTMENT OF HEALTH,171302324,117848189,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,IA ST DEPARTMENT OF PUBLIC HEALTH,181600727,114243964,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,RESEARCH TRIANGLE INSTITUTE,171499647,112464531,,"ACTIV INTEGRATION OF HOST-TARGETING THERAPIES FOR COVID-19 ADMINISTRATIVE COORDINATING CENTER - RTI INTERNATIONAL IS PLEASED TO PROVIDE THIS APPLICATION AS REQUESTED BY THE RESEARCH OPPORTUNITIES ANNOUNCEMENT OTA-20-011 ACTIV INTEGRATION OF HOST-TARGETING THERAPIES FOR COVID-19 FOR THE ROLE OF ADMINISTRATIVE COORDINATING CENTER (ACC). THE TITLE OF OUR APPLICATION IS ACTIV INTEGRATION OF HOST-TARGETING THERAPIES FOR COVID-19 ADMINISTRATIVE COORDINATING CENTER. THE INTEGRATION OF HOST-TARGETING THERAPIES FOR COVID-19 PROGRAM AIMS TO IDENTIFY COVID-19 INTERVENTIONS RELEVANT TO HEART, LUNG, BLOOD, AND CARDIOVASCULAR OUTCOMES THAT CONTRIBUTE TO THE SCIENTIFIC KNOWLEDGE BASE ARE LIKELY TO INFORM CLINICAL PRACTICE. THIS PROGRAM WILL RAPIDLY AND EFFICIENTLY CONDUCT ADAPTIVE PLATFORM TRIALS VIA A COORDINATED EFFORT OF DATA COORDINATING CENTERS AND CLINICAL SITES FROM EXISTING CLINICAL STUDY NETWORKS. THE ACC IS A CRITICAL COMPONENT OF THE PROGRAM. WE WILL COORDINATE WITH NHLBI TO ENSURE COLLABORATION AMONG NETWORKS INCLUDING THE USE OF STANDARDIZED APPROACHES IN CLINICAL TRIAL DESIGN AND CONDUCT, DATA COLLECTION AND VALIDATION, AND STATISTICAL ANALYSIS SUCH THAT STUDIES ARE LAUNCHED, IMPLEMENTED AND ANALYZED SWIFTLY; AND STUDY FINDINGS ARE SCIENTIFICALLY SOUND AND MEET REGULATORY NEEDS FOR MEDICAL THERAPY DEVELOPMENT. AS THE ACC, WE WILL ALSO SERVE THE VITAL ROLE OF FACILITATING COMMUNICATION AND INFORMATION SHARING AMONG ALL RELEVANT STAKE HOLDERS AND HELPING NHLBI IN TRACKING STUDY-SPECIFIC AND PROGRAM-WIDE MILESTONES. SONIA THOMAS, DRPH, WILL LEAD THE ACC AS PRINCIPAL INVESTIGATOR. SHE IS AN EXPERIENCED CC PI AND STATISTICIAN WITH 25 YEARS OF EXPERIENCE IN THE DESIGN, IMPLEMENTATION, AND ANALYSIS OF MULTICENTER NIHAND INDUSTRY-SPONSORED PHASE 2-4 CLINICAL TRIALS OF DRUGS, BIOLOGICS, DEVICES, SURGICAL AND BEHAVIORAL INTERVENTIONS IN MORE THAN A DOZEN THERAPEUTIC INDICATIONS. DR. THOMAS WILL BE SUPPORTED BY TRACY NOLEN, DRPH AS ALTERNATE PI, AN EXPERIENCED CONSORTIUM AND CC PI AND CLINICAL TRIAL STATISTICIAN, AND SUBJECT MATTER EXPERTS STEVE NISSEN, MD, CLEVELAND CLINICAL CHIEF ACADEMIC OFFICER, HEART AND VASCULAR INSTITUTE, SHANNON CARSON, MD, UNIV. OF NORTH CAROLINA CHIEF OF PULMONARY AND CRITICAL CARE MEDICINE, AND ANASTASIA IVANOVA, PHD, UNIV. OF NORTH CAROLINA PROFESSOR OF BIOSTATISTICS UNDER DR THOMASâ€™S DIRECTION, OUR TEAM WILL LEAD, SUPPORT, AND COLLABORATE WITH PROGRAM NETWORKS THROUGH ORGANIZATION INTO 6 ACC CORES: PROGRAM OPERATIONS, SCIENTIFIC LEADERSHIP AND PRIORITIZATION, INFORMATICS, DATA STANDARDS, STUDY DESIGN, IMPLEMENTATION, & ANALYSIS, AND REGULATORY AND QA. WE HAVE IDENTIFIED MILESTONES FOR THE ESSENTIAL ACTIVITIES OF THE ACC WITHIN EACH OF THESE 6 CORES WITH A DETAILED FOCUS ON THE ACTIVITIES IN THE FIRST 6 MONTHS AS ACTIVITIES COMPLETED DURING THIS TIME ARE MOST IMPORTANT FOR ENSURING THE COORDINATED, EXPEDITED AND EFFICIENT LAUNCH OF THIS PROGRAM. DR. THOMAS, OUR SUBJECT MATTER EXPERTS, SENIOR STATISTICAL SCIENTISTS, AND MANY OF THE CORE LEADS HAVE SUBSTANTIAL EXPERIENCE WITH NHLBI AND THUS UNDERSTAND THE NEEDS AND PRIORITIES OF THE INSTITUTE AND WILL USE THIS KNOWLEDGE TO BETTER COLLABORATE WITH NHLBI AND FURTHER SPEED UP THE LAUNCH OF THIS PROGRAM. WE ARE WILLING TO COLLABORATE WITH ALL INVOLVED ENTITIES AS PART OF THE OVERARCHING TRANS-NIH ACTIV PROGRAM AS IT EVOLVES. WE RECOGNIZE AND ANTICIPATE THAT SWIFT ADAPTATION WILL BE REQUIRED TO RAPIDLY RESPOND TO THE URGENT CLINICAL RESEARCH NEEDS TO ADDRESS THE COVID-19 PANDEMIC. RTI IS UNIQUELY AND SUBSTANTIALLY QUALIFIED FOR THE ACC. WE WILL USE OUR TEAMâ€™S BROAD EXPERIENCE FROM MANY COMPLEX COORDINATING CENTER PROJECTS TO ANTICIPATE THE NEEDS FOR THIS PROGRAM AND â€œHIT THE GROUND RUNNINGâ€. PROVEN INFORMATICS TECHNOLOGY IN USE BY EXISTING NIH PROGRAMS WILL BE SWIFTLY MODIFIED BY OUR ANALYSTS FOR SPEEDY DEPLOYMENT OF COMMUNICATIONS PLATFORMS. OUR ORGANIZATIONAL SIZE AND FLEXIBILITY WILL ALLOW US TO RAMP UP QUICKLY AND MODIFY PERSONNEL RESOURCES FLEXIBLY. LASTLY, RTI"
3/23/2025,Department of Health and Human Services,FL ST DEPT OF HLTH,110619713,110619713,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,AZ ST DEPARTMENT OF HEALTH SERVICES,418951181,107029296.31,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,CT ST DEPT OF PUBLIC HEALTH,205212155,101481747.9,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,FL ST DEPT OF HLTH,271507432,101174711,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,TX DEPT OF STATE HEALTH SERVICES,473597520,97094095,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"CHICAGO, CITY OF",155060902,94412426.14,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,184529758,86327443,,"Utah's proposal for activities within ELC Supplemental funds round 2 (AMD 2, NWSS 2)"
3/24/2025,Department of Health and Human Services,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,603677156,84203978.97,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,KY ST CABINET FOR HEALTH AND FAMILY SERVICES,257152034,80482341.34,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,COUNTY OF LOS ANGELES,577834765,78908293.12,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,California Dept of Public Health,203505182,74124805.17,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,ARKANSAS DEPARTMENT OF HEALTH,173699918,74068018,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,California Dept of Public Health,332048088,72427679.55,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,WA ST DEPARTMENT OF HEALTH,438300928,70659363.2,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,ID ST DEPT OF HEALTH & WELFARE,102860572,67449188,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC): BP4 (2022-2023)
3/24/2025,Department of Health and Human Services,MA ST DEPARTMENT OF PUBLIC HEALTH,396721327,64349277.75,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,CA Department of Health Care Services,205947056,63997785,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,TX ST DEPARTMENT OF HEALTH,293440403,62848922,,June 2023 Supplemental Funding Programs: HHS Bridge Access and Vaccine Confidence
3/23/2025,Department of Health and Human Services,CA Department of Health Care Services,186972433,62276642,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/24/2025,Department of Health and Human Services,"HEALTH RESEARCH, INC.",700248982,62262225.92,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,HEALTH & HUMAN SVC COMMN TX,128821616,60505358,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/24/2025,Department of Health and Human Services,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,315183795,58841811.53,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,CT ST DEPT OF PUBLIC HEALTH,182633998,56868701.12,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",111341396,54863370,,Nebraska Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,HEALTH & HUMAN SVC COMMN TX,117140711,54051826,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/24/2025,Department of Health and Human Services,WA ST DEPARTMENT OF HEALTH,177231546,52524001.12,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,DIVISION OF CHILD AND FAMILY SERVICES,177288799,52010926.21,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,296351652,51582432,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",242766122,51030174.97,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"NEW YORK, CITY OF",479853706,50729836.24,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,INDIANA STATE DEPARTMENT OF HEALTH,183065473,50662718,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HEALTH,132794684,50151684.9,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",499203180,49335934.52,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,Maine St. Department of Health and Human Services,77370669,47011347.19,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,VA ST DEPARTMENT OF HEALTH,213081523,45794724,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,135344714,45417796,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",197887440,45257547,,"Abstract This supplement will support ACTIV-2D ACTIV-2D is a master protocol to evaluate the safety and efficacy of investigational agents for the treatment of symptomatic non-hospitalized adults with SARS-CoV-2 infection. The protocol is a phase III multicenter, randomized, double blind trial to evaluate the safety and efficacy of S-217622 for the treatment of symptomatic high-risk non-hospitalized adults with SARS-CoV-2 infection. The primary outcome is to determine if the investigational agent (S-217622) will prevent the composite endpoint of hospitalization due to any cause or death due to any cause through study Day 29. Hospitalization is defined as ≥24 hours of acute care, in a hospital or similar acute care facility, including Emergency Rooms or temporary facilities instituted to address medical needs of those with severe coronavirus disease 2019 (COVID-19) during the COVID-19 pandemic."
3/24/2025,Department of Health and Human Services,DEPARTMENT OF HEALTH NEW MEXICO,120690087,45025661.54,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,INTERNATIONAL FERTILITY RESEARCH PROGRAM,108743247,44188335,,"Abstract: The novel virus, SARS-CoV-2, which causes Coronavirus Disease – 2019 (COVID-19) is a significant threat to public health. SARS-CoV-2 is both highly transmissible, as is evidenced by the current pandemic, and can lead to clinically significant COVID-19 disease. In severe and critical cases SARS-CoV-2 infection causes progressive pulmonary infection, complicated by respiratory failure, with a high prevalence of acute respiratory distress syndrome. Out of all age groups, older adults have the greatest risk of experiencing severe COVID-19 disease and its associated complications (CDC 2020; Grabowski and Mor 2020). Globally, there are a number of reports of COVID-19 rapidly spreading among the residents of skilled nursing facilities. Sadly, these nursing home residents also have high associated rates of both morbidity and mortality (Arons et al. 2020; Grabowski and Mor 2020; Graham et al. 2020). In the United States (US), at least 153,000 nursing home residents and employees have contracted COVID-19 disease and account for 35% of the country’s deaths (Werner et al. 2020). With more than 1.3 million Americans living in nursing homes (CDC 2016), there is an urgent need for effective, preventative strategies. CoVPN 3501 is a randomized, double-blind, placebo-controlled, prophylaxis study to evaluate the efficacy and safety of the intravenous mAb, LY3819253, in preventing SARS-CoV-2 infection and COVID-19, compared to placebo. It is expected that 1700-2400 participants (intent-to-treat [ITT] population) will be randomly assigned to study intervention such that approximately 1300 SARS-CoV-2 negative participants are randomized in the study with the goal of achieving approximately 33 events (in each of the primary and key secondary endpoints). This study will evaluate the effectiveness and safety of a monoclonal antibody (mAb), LY3819253, in preventing SARS-CoV-2 infection and COVID-19 disease in nursing home facility staff and residents."
3/23/2025,Department of Health and Human Services,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",170881829.83,43904251,,"Abstract This supplement will support ACTIV-2D ACTIV-2D is a master protocol to evaluate the safety and efficacy of investigational agents for the treatment of symptomatic non-hospitalized adults with SARS-CoV-2 infection. The protocol is a phase III multicenter, randomized, double blind trial to evaluate the safety and efficacy of S-217622 for the treatment of symptomatic high-risk non-hospitalized adults with SARS-CoV-2 infection. The primary outcome is to determine if the investigational agent (S-217622) will prevent the composite endpoint of hospitalization due to any cause or death due to any cause through study Day 29. Hospitalization is defined as ≥24 hours of acute care, in a hospital or similar acute care facility, including Emergency Rooms or temporary facilities instituted to address medical needs of those with severe coronavirus disease 2019 (COVID-19) during the COVID-19 pandemic."
3/24/2025,Department of Health and Human Services,NY ST DEPT OF HEALTH,131683462,43176251.25,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,IL  ST  DEPT OF PUBLIC HEALTH,286317362,43010120,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,VA ST DEPARTMENT OF HEALTH,102577173,42755741,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,54684359,40743934,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,NYS Office of Alcoholism and Substance Abuse Services,90525693,40061246,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/24/2025,Department of Health and Human Services,"NEW YORK, CITY OF",807512729,39516923.19,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"CHICAGO, CITY OF",187511371,38751896.09,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,IL  ST  DEPT OF PUBLIC HEALTH,113713946,38629679.12,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",267577065,38419083,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,78262766,37718688,,"Epidemiology and Laboratory Capacity for Infectious Diseases (ELC) - Building and Strengthening Epidemiology,Laboratory and Health Information Systems Capacity in State and Local Health Departments"
