payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
04/30/2025,7982928.19,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"1. CDC-RFA-CK19-1904 2. NU50CK000501 (932) 3. 08/20 - 03/25 4. Payment to TX Health &amp; Human services to process invoices for purchased contracted services, Multiple Payments/Grants to various cities and counties such as (City of Beaumont, Galveston County Health District, UT Health Science Center at Houston, City of Laredo, Williamson County &amp; Cities Health District, Victoria County, City of Waco, City of El Paso, City of San Antonio, City of Brownwood, Brazos County, Denton County, Dallas County) for reimbursement of Infectious Disease Control Unit/COVID-19 contracted services, Federal pass thru grant to UT Health Center at Tyler and Texas Tech University for reimbursement of Infectious Disease Control Unit/COVID-19 contracted services, Multiple payments to subcontractors such as (Work Quest, Loblolly Consulting LLC, Genius Road LLC) for FY25 temp augmentation services in March 2025 5. $7,405,234.09 category 2000 supplies/other $577,694.10 category 4000 contractual services","This drawdown is allowable and is consistent with the recipient's scope of work. The recipient's budget has been reviewed, and the drawdown is in alignment with the approved budget.",TX DEPT OF STATE HEALTH SERVICES,
04/22/2025,7550007.38,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Professional-Technical Services, Supplies, Equipment Repair, Communications, Space Rental and Utilities, and IT Services for Epidemiology &amp; Lab Capacity (ELC).","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",MN ST DEPARTMENT OF HEALTH,
04/30/2025,7448326.42,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"1. CDC-RFA-CK19-1904 2. NU50CK000501 (932) 3. 08/20 - 03/25 4. Payment to TX HHSC for purchased contracted services, Multiple payments/grants to various cities &amp; counties such as (Cities of Beaumont, El Paso, Laredo, Waco, &amp; Texarkana, Tarrant, Victoria, Hardin, Hidalgo, Brazos, Cameron, Hays, Dallas Counties, Northeast TX PHD, Montgomery County PHD) for reimbursement FY 25-CMS-IDCU COVID-19 contracted services, Federal pass thru grant to UT Health Center at Tyler for reimbursement of IDCU/COVID-19 contracted services, Employee reimbursement for travel expenses mileage fees, Payment to Citibank National Assoc. for travel reimbursement services on procard, Payment to Greater Good Group LLC for eFaxing support &amp; maintenance, Mutiple payments to subcontractor for FY25 temp staff services in March 2025, Payment to TX DIR to process March Invoice for statewide computer services. 5. $5,651,948.82 cat 2000 supplies/other $1,796,300.82 cat 4000 contractual $76.78 cat 2005 travel","This drawdown is allowable and is consistent with the recipient's scope of work. The recipient's budget has been reviewed, and the drawdown is in alignment with the approved budget.",TX DEPT OF STATE HEALTH SERVICES,
04/28/2025,7389866.97,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"CDC-RFA-CK19-1904 19NU50CK000535EDEXC5 08/01/2019-03/24/2025  Final Draw for final reconciled Personnel Costs: 2,461,023.51 Indirect Cost: 168,669.96 Other:  13,532.01 IT costs for personel,  Contract:  721,025.15 OJA &amp; IMMY Tec (Covid testing), Travel:  233.24 Other:  3,647,893.10 Conduent Public Health Solutions for  web-based application for disease management and surveillance activities. Equipment:  377,490.00  LexisNexis Vitalchek Network system","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.  

",OK ST DEPARTMENT OF HEALTH,
04/25/2025,7152721.19,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Justification: Payroll and Fringe for Staff ($2,983,169.06); Computer Supplies ($794,796.02); Gen Laboratory ($134,848.26); Misc. Parts &amp; Supplies ($12,482.84); Temp Personnel ($549,679.65); Janitorial Svcs ($157,441.14); Security Svcs ($117,570.02); Misc. Support Svcs ($379,941.59); Computer Software Mnt ($660,246.20); Non-Subrecipient Contractor to Accenture LLC and Williams Marsh Rice University ($931,490.19); Travel ($4,564.31); Voice Svcs ($17,770.26); Capital Equipment ($285,262.06); Misc. Other Svcs ($57,993.14); Non-Capital ($6,910.00); Indirect Cost ($58,556.45)","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.  ",HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,
04/25/2025,5693938.15,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"This payment is for the reimbursement of cost incurred and authorized to support and complete the approved project objectives for the period of 01/01/2025 to 03/23/2025. We certify that these costs are reasonable, necessary, allowable, and otherwise allowable in accordance with the award terms and conditions for the award 19NU50CK000526C4. Payroll and Fringe Benefits for Staff, Subcontractor Payment to QUICK DELIVERY, GEN PROBE, BIO NUCLEAR OF P R INC, PALADIUS CORP., OFFICE GALLERY, ILLUMINA, INC, ARAMSCO, INC, AT&T OF PUERTO RICO INC., CARDINAL HEALTH P.R. 120, INC., BIOANALYTICAL INSTRUMENTS INC, WEST FIRE & SAFETY EQUIPMENT, JR ELEVATOR, LLC., THE OFFICE SHOP LLC, INTELVOX, LLC, RICOH DE PUERTO RICO, DIGIMEDIA LLC, R&B SOLUTIONS CORP., SERVICIOS SANITARIOS DE PUERTO RICO, INC, VWR ADVANCED INSTRUMENTS, LLC, COLLEGE OF AMERICAN PATHOLOGIST, EASEWAY OF PUERTO RICO CORP., PROFESIONAL HEPA CERTIFICATE CORP, GEN-PROBE SALE SERV, INC SUBS. OF HOLOGIC, CESAR CASTILLO INC, WEST FIRE & SAFETY EQUIPMENT, VIG LEASING LLC, DESIGNED TEMPERATURES, INC., QIAGEN LLC, LOGICALIS PUERTO RICO INC, OFFICE GALLERY.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",Departamento De Salud Oficial,
04/28/2025,5543553.68,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Requesting payment for NOFO: IP19-1901, Immunization and Vaccines for Children, Grant #6 NH23IP922612-05-13, Budget period 07/01/2023-06/30/2025; invoice date April 2025, Consulting and Professional Services-$5,543,553.68, payment to ACCENTURE LLP-$4,456,447.48; THE HIGHLANDS CONSULT GRP LLC-$73,073.00; M CORP-$1,014,033.20.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities.  Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.  

",California Dept of Public Health,
04/25/2025,4901657,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"This is a reimbursement request for contractual in amount of $4,923,901 and adjustment of salaries, employee benefit and indirect of ($24,074) and supplies of $1,830 for grant period 12/1/23-11/30/24.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, reasonable, and consistent will result in disallowed costs and the funds will be recovered.",COUNTY OF LOS ANGELES,
04/30/2025,4858062.56,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"CDC-RFA-CK19-1904 2. NU50CK000501 (932) 3. 08/20 - 03/25 4. Subcontractor payments to Work Quest &amp; Texas Govlink Inc. for FY 25 temp staff services in March 2025, Payment to SSDataInfo Inc to process March Invoices for statewide computer services. 5. $4,858,062.56 cat 2000 other.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",TX DEPT OF STATE HEALTH SERVICES,
04/23/2025,3826198.99,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"$1,776,815.3 Passthrough to Local Health Departments; $803,928.94 IT Expenses; $514,321.99 Payroll; $265,375.09 Overhead Allocations (HR, Payroll, Rent, Insurance, Lab, Single Audit); $243,142.99 FY25 Indirect; $120,810.19 Passthrough to Community Health Organizations; $989,18.85 Contractual Payments (Long COVID Epidemiologist, Courier and Utility Compensation for Wastewater Surveillance); $1,341.12 Wireless Service; $791.92 Shipping; $312.78 Travel; $230 UPHA Licenses; $149.82 Environmental Services; $60 CSTE Membership","
CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.
",UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,
04/23/2025,3600926.59,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"These payments are for cost incurred in September 2024 thru March 2025. Reimbursements for payroll and related benefits for staff (majority of reimbursement). Reimbursement of Acquisions Supplies for medical, Medline Industries LP, ED. SMITH&#39;S STENCIL, and office. Operating expenses: ALARM PROTECTION SERVICE. Rent expenses: HEAL GARAGE. Operating utilities: FedEx. Miscellaneous expense charges: staples, united airlines, agent fee, NATL PUBLIC HLTH INFO, YODECK, LOWES. Travel expense: ENTERPRISE RENT-A-CAR, Hotels LOUISIANA SHOTS TOTS. IAT expense: Printing Services, STCHealth - Immunization software license, Licenses for OPH, Professional services: Purchase order payment for La Wallet,","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered","LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",
05/05/2025,3500000,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"1. Payment for the month of May 2025 Contractual advances -$902,641   2. Payment for the supplies of  solar  pannels which will be installed as a power back up for  261 CTC sites-$2,536,705   3. Payment for the Other Direct cost such as monthly security,Airtime sample transportation,-$60,654","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",Management and Development for Health,
04/29/2025,3447676.4,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"CDC-RFA-CK19-1904 NU50CK000560-02 08/01/2020 - 07/31/2026. Nevada used the funds per the approved federal grant budget in full compliance with the grant. Payment justification: Salaries and fringe. Subcontractors: Southern Nevada Health District, Board of Regents-Great Basin College, City of Carson City, Marathon Staffing Group, Intergovernmental transfer. Supplies: software, paper. Other: copier rental, copies, email, cell phone, phone, internet, virtual server, disk storage. Indirect. Summary total of the requested costs Salaries and fringe $1,052.23, Subcontractor: $3,439,125.01, Supplies $147.86, Other $1,513.46. Indirect. $5,837.84	
","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.  ",DIVISION OF CHILD AND FAMILY SERVICES,
04/25/2025,3413530.91,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"This payment is for the reimbursement of cost incurred and authorized to support and complete the approved project objectives for the period of 01/01/2025 to 03/23/2025. We certify that these costs are reasonable, necessary, allowable, and otherwise allowable in accordance with the award terms and conditions for the award 19NU50CK000526EDEXC5. Payroll and Fringe Benefits for Staff, Subcontractor Payment to MANPOWER, MUSIC WAVE EVENTS & RENTALS, THE OFFICE SHOP LLC, INMOBILIARIA WITOCHE INC, EMPRESA MUN. AREA RECREATIVA MEDIA LUNA, BEECOAST CONTRACTORS, INC., TOGAR GLOBAL, INC., ROCHE DIAGNOSTICS CORPORATION, BIO NUCLEAR OF P R INC, VWR ADVANCED INSTRUMENTS, LLC, AXISCARE HEALTH LOGISTICS, INC, MUNICIPIO DE ADJUNTAS, MUNICIPIO DE AIBONITO, STERICYCLE, SECRETARIO DE HACIENDA, REYES CONTRACTOR GROUP, AT&T OF PUERTO RICO INC. and INDUCTIVE HEALTH INFORMATICS, INC. Summary total of the requested cost Payroll and Fringe Benefits ($40,681.18), Subcontractors $3,366,586.90, and Indirect Cost ($6,262.83).","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",Departamento De Salud Oficial,
05/02/2025,3012227.19,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"1. Notice of Funding Opportunity Number: CK19-1904;  
2. Grant Number: NU50CK000528-02; 
3. Budget Period: 08/01/2020 to 03/24/2024; 
4. Reason for Payment Request: 
•	Contractual costs: METROPOLITAN GOVT OF NASHVILLE & DAVIDSON: -8,868.71, NATIONAL FOOTBALL LEAGUE ALUMNI ASSOCIATION: 258,811.73; 
•	Other - Professional Services: Bedford County Trustee, Benton County, BRADLEY COUNTY GOVERNMENT, Carroll County Government, Chester County, CLAIBORNE COUNTY GOVERNMENT, Decatur County Government, Fayette County Government, Giles County, GRAINGER COUNTY GOVERNMENT, Henry Schein Inc, Hickman County Government, Humphreys County, JEFFERSON COUNTY GOVERNMENT, Lauderdale County Government, MICHAEL BANKS, NASHVILLE STATIONARY COMPANY, RHEA COUNTY, RUTHERFORD COUNTY, Trustee Franklin County, Union County Government, WASHINGTON COUNTY GOVERNMENT, WAYNE COUNTY GOVERNMENT, UWORK COM INC; 
•	Other – Maintenance: MOLECULAR DEVICES LLC, Massey Construction Inc, WM S TRIMBLE CO INC; 
•	Equipment: MOLECULAR DEVICES LLC, M3 Technology Group Inc; 
•	Other - Data Processing: ETELIC INC; 
5. Summary total of the requested cost: Contractual costs 249,943.02; Other - Professional Services costs 2,576,124.93; Other - Maintenance costs 72,630.35; Equipment costs 113,528.89; Other - Data Processing costs 42,425.00; TOTAL COSTS: 3,054,652.19","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",TN ST DEPARTMENT OF HEALTH,
04/22/2025,3000000,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,Requested amount to cover personnel costs for the month of April 2025 and program activities including payments for the solar installation which is due by end of this month (April 2025),"CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",Management and Development for Health,
04/23/2025,2900000,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"The cash draw request includes:  Includes 1,117,486.75 for Ohio Department of Health indirect charges for prior month payroll expenditures; $1,571,702.04 for purchased services for approved activities including disease mitigation, infection prevention and data modernization; and, $210,811.21 for reimbursements to subgrantees and includes final expense reports for activities which occurred before March 24, 2025, for 87 local health departments covering personnel, equipment, contracts, and other direct costs.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",OH ST DEPARTMENT OF PUBLIC HEALTH,
